,State,English_ACT,Math_ACT,Reading_ACT,Science_ACT,Composite_ACT,Avg_ACT,Participation_float_ACT,Reading_SAT,Math_SAT,Total_SAT,Participation_float_SAT
0,Alabama,18.9,18.4,19.7,19.4,19.2,19.12,1.0,593,572,1165,0.05
1,Alaska,18.7,19.8,20.4,19.9,19.8,19.72,0.65,547,533,1080,0.38
2,Arizona,18.6,19.8,20.1,19.8,19.7,19.6,0.62,563,553,1116,0.3
3,Arkansas,18.9,19.0,19.7,19.5,19.4,19.3,1.0,614,594,1208,0.03
4,California,22.5,22.7,23.1,22.2,22.8,22.660000000000004,0.31,531,524,1055,0.53
5,Colorado,20.1,20.3,21.2,20.9,20.8,20.66,1.0,606,595,1201,0.11
6,Connecticut,25.5,24.6,25.6,24.6,25.2,25.1,0.31,530,512,1041,1.0
7,Delaware,24.1,23.4,24.8,23.6,24.1,24.0,0.18,503,492,996,1.0
8,District of Columbia,24.4,23.5,24.9,23.5,24.2,24.1,0.32,482,468,950,1.0
9,Florida,19.0,19.4,21.0,19.4,19.8,19.72,0.73,520,497,1017,0.83
10,Georgia,21.0,20.9,22.0,21.3,21.4,21.32,0.55,535,515,1050,0.61
11,Hawaii,17.8,19.2,19.2,19.3,19.0,18.9,0.9,544,541,1085,0.55
12,Idaho,21.9,21.8,23.0,22.1,22.3,22.220000000000002,0.38,513,493,1005,0.93
13,Illinois,21.0,21.2,21.6,21.3,21.4,21.3,0.93,559,556,1115,0.09
14,Indiana,22.0,22.4,23.2,22.3,22.6,22.5,0.35,542,532,1074,0.63
15,Iowa,21.2,21.3,22.6,22.1,21.9,21.82,0.67,641,635,1275,0.02
16,Kansas,21.1,21.3,22.3,21.7,21.7,21.62,0.73,632,628,1260,0.04
17,Kentucky,19.6,19.4,20.5,20.1,20.0,19.919999999999998,1.0,631,616,1247,0.04
18,Louisiana,19.4,18.8,19.8,19.6,19.5,19.419999999999998,1.0,611,586,1198,0.04
19,Maine,24.2,24.0,24.8,23.7,24.3,24.2,0.08,513,499,1012,0.95
20,Maryland,23.3,23.1,24.2,23.2,23.6,19.3,0.28,536,524,1060,0.69
21,Massachusetts,25.4,25.3,25.9,24.7,25.4,25.339999999999996,0.29,555,551,1107,0.76
22,Michigan,24.1,23.7,24.5,23.8,24.1,24.04,0.29,509,495,1005,1.0
23,Minnesota,20.4,21.5,21.8,21.6,21.5,21.360000000000003,1.0,644,651,1295,0.03
24,Mississippi,18.2,18.1,18.8,18.8,18.6,18.5,1.0,634,607,1242,0.02
25,Missouri,19.8,19.9,20.8,20.5,20.4,20.28,1.0,640,631,1271,0.03
26,Montana,19.0,20.2,21.0,20.5,20.3,20.2,1.0,605,591,1196,0.1
27,Nebraska,20.9,20.9,21.9,21.5,21.4,21.32,0.84,629,625,1253,0.03
28,Nevada,16.3,18.0,18.1,18.2,17.8,17.68,1.0,563,553,1116,0.26
29,New Hampshire,25.4,25.1,26.0,24.9,25.5,25.380000000000003,0.18,532,520,1052,0.96
30,New Jersey,23.8,23.8,24.1,23.2,23.9,23.76,0.34,530,526,1056,0.7
31,New Mexico,18.6,19.4,20.4,20.0,19.7,19.62,0.66,577,561,1138,0.11
32,New York,23.8,24.0,24.6,23.9,24.2,24.1,0.31,528,523,1052,0.67
33,North Carolina,17.8,19.3,19.6,19.3,19.1,19.02,1.0,546,535,1081,0.49
34,North Dakota,19.0,20.4,20.5,20.6,20.3,20.16,0.98,635,621,1256,0.02
35,Ohio,21.2,21.6,22.5,22.0,22.0,21.86,0.75,578,570,1149,0.12
36,Oklahoma,18.5,18.8,20.1,19.6,19.4,19.28,1.0,530,517,1047,0.07
37,Oregon,21.2,21.5,22.4,21.7,21.8,21.72,0.4,560,548,1108,0.43
38,Pennsylvania,23.4,23.4,24.2,23.3,23.7,23.6,0.23,540,531,1071,0.65
39,Rhode Island,24.0,23.3,24.7,23.4,24.0,23.880000000000003,0.21,539,524,1062,0.71
40,South Carolina,17.5,18.6,19.1,18.9,18.7,18.56,1.0,543,521,1064,0.5
41,South Dakota,20.7,21.5,22.3,22.0,21.8,21.66,0.8,612,603,1216,0.03
42,Tennessee,19.5,19.2,20.1,19.9,19.8,19.7,1.0,623,604,1228,0.05
43,Texas,19.5,20.7,21.1,20.9,20.7,20.580000000000002,0.45,513,507,1020,0.62
44,Utah,19.5,19.9,20.8,20.6,20.3,20.220000000000002,1.0,624,614,1238,0.03
45,Vermont,23.3,23.1,24.4,23.2,23.6,23.520000000000003,0.29,562,551,1114,0.6
46,Virginia,23.5,23.3,24.6,23.5,23.8,23.740000000000002,0.29,561,541,1102,0.65
47,Washington,20.9,21.9,22.1,22.0,21.9,21.76,0.29,541,534,1075,0.64
48,West Virginia,20.0,19.4,21.2,20.5,20.4,20.3,0.69,558,528,1086,0.14
49,Wisconsin,19.7,20.4,20.6,20.9,20.5,20.419999999999998,1.0,642,649,1291,0.03
50,Wyoming,19.4,19.8,20.8,20.6,20.2,20.16,1.0,626,604,1230,0.03
